id,url,title,subtitle,content,datetime,topic
2060529143,https://ria.ru/20251208/kurgan-2060529143.html,Экс-главу округа на Урале выпустили из СИЗО,РИА Новости: экс-главу Половинского района Хачатуряна выпустили из СИЗО,"ЧЕЛЯБИНСК, 8 дек – РИА Новости. Курганский областной суд изменил меру пресечения с содержания под стражей на домашний арест бывшему главе Половинского муниципального округа Армэну Хачатуряну, обвиняемому в мошенничестве и участии в преступном сообществе, сообщили РИА Новости в пресс-службе облсуда. Как сообщало региональное СУСК РФ, с 2021 по 2024 годы преступной группой, в состав которой входил обвиняемый, были незаконно получены бюджетные денежные средства в виде субсидий за фактически невыполненные культуртехнические работы на земельных участках. Денежными средствами они распорядились по своему усмотрению. В результате бюджету РФ причинен ущерб в размере более 12 миллионов рублей. В апреле фигурант был задержан, ему предъявлено обвинение, судом по ходатайству следственных органов ему была избрана мера пресечения в виде заключения под стражу. Прокурор попросил дать экс-главе Ростовского облсуда 20 лет колонии5 декабря, 16:45


Поделиться

""Решением Курганского областного суда мера пресечения Хачатуряну в виде содержания под стражей заменена на домашний арест"", - сказал собеседник агентства. 











Он уточнил, что находиться под домашним арестом обвиняемый будет до 19 декабря. Ранее отмечалось, что в отношении него было возбуждено уголовное дело по статьям об участии в преступном сообществе и мошенничестве. Источник РИА Новости в правоохранительных органах пояснял, что обвиняемый – Армэн Хачатурян, 1981 года рождения, бывший глава Половинского муниципального округа Курганской области.Экс-глава подмосковного Долгопрудного ушел на СВО5 декабря, 06:30


Поделиться

",12:04 08.12.2025,incidents
2060529020,https://ria.ru/20251208/pozhar-2060529020.html,В Тверской области локализовали пожар на складе,"Пожар на складе в Тверской области локализован на 1,1 тыс квадратных метров","МОСКВА, 8 дек - РИА Новости. Пожар в здании склада в Тверской области удалось локализовать на площади порядка 1,1 тысячи квадратных метров рассказали РИА Новости в пресс-службе МЧС России. ""В настоящее время пожар локализован на 1100 квадратных метрах"", - говорится в сообщении.В Кашире потушили пожар в здании администрации11:33


Поделиться

",12:04 08.12.2025,incidents
2060528826,https://ria.ru/20251208/figuranty-2060528826.html,Троих фигурантов дела Бентли лишили воинских званий,РИА Новости: троих фигурантов дела об убийстве Бентли лишили воинских званий,"ДОНЕЦК, 8 дек - РИА Новости. Троих осужденных по делу о гибели корреспондента Sputnik Рассела Бентли лишили воинских званий по решению суда, передает корреспондент РИА Новости из зала суда. ""Вансяцкого признать виновным в совершении преступления с дополнительным наказанием в виде лишения воинского звания майор… Иорданова - дополнительное наказание в виде лишения воинского звания старший лейтенант... Владиславу Агальцеву дополнительное наказание в виде лишения звания младший сержант"", - заявил судья. ""Здесь тяжело, но я продолжу работать"". Каким запомнился Рассел Бентли20 июня, 15:11


Поделиться

Суд в Донецке в понедельник приговорил на сроки до 12 лет лишения свободы фигурантов дела об убийстве Бентли. Как сообщил Южный окружной военный суд, назначено наказание: Вансяцкому - 12 лет колонии строгого режима, Иорданову - 12 лет колонии строгого режима, Агальцеву - 11 лет колонии строгого режима, Бажину - 1 год 6 месяцев лишения свободы в колонии-поселении. 











В апреле 2024 года главный редактор медиагруппы ""Россия сегодня"" Маргарита Симоньян сообщила, что 64-летний корреспондент Sputnik с позывным ""Техас"" (данным по его техасскому происхождению) погиб в Донецке. Гендиректор медиагруппы ""Россия сегодня"" (в которую входит Sputnik) Дмитрий Киселев заявил, что убийство Бентли должно быть расследовано, а виновные – наказаны. Бентли присоединился к ополчению ДНР в 2014 году. Он говорил, что поехал в Донбасс, потому что восхищался мужеством и стойкостью местного населения. Во время военных действий проявлял искреннее сострадание к нуждающимся, он собирал средства и передавал гуманитарную помощь пожилым людям, женщинам и детям Донбасса. Бентли неоднократно высказывался в поддержку российской специальной военной операции на Украине, был удостоен наград ДНР. Он рассматривал российскую спецоперацию как начало окончания агрессивной войны киевского режима против Донбасса. В 2022 году он говорил, что Россия спасла буквально сотни тысяч человеческих жизней, придя на помощь Донбассу. В сентябре 2024 года СК РФ завершил расследование уголовного дела об убийстве Бентли. Как сообщили РИА Новости в пресс-службе Следственного комитета, СК РФ установил ""все лица, причастные к гибели"" Бентли, и обстоятельства совершенных преступлений. Фигурантами дела стали четверо российских военных Виталий Вансяцкий, Владислав Агальцев, Владимир Бажин и Андрей Иорданов. По данным следствия, 8 апреля в Донецке Вансяцкий, Агальцев и Иорданов ""применили к нему физическое насилие и пытки, повлекшие его смерть"". В тот же день Вансяцкий и Агальцев подорвали тротиловой шашкой автомобиль ВАЗ-2115 с телом Бентли. Девятого апреля по указанию Вансяцкого военнослужащий той же войсковой части Бажин ""совершил укрывательство особо тяжкого преступления, переместив останки Бентли с места происшествия"".Суд вынес приговоры убийцам корреспондента Sputnik Бентли11:13


Поделиться

",12:03 08.12.2025,incidents
2060527475,https://ria.ru/20251208/vdova-2060527475.html,Вдова журналиста Sputnik Бентли получит компенсацию,РИА Новости: вдова журналиста Sputnik Бентли получит пять миллионов рублей,"ДОНЕЦК, 8 дек - РИА Новости. Вдова корреспондента Sputnik Рассела Бентли получит компенсацию по делу своего мужа в размере пяти миллионов рублей, передает корреспондент РИА Новости из зала суда. ""Гражданский иск Людмилы Бентли ""О компенсации морального ущерба"" на сумму пять миллионов рублей удовлетворен"", - сказал судья. Суд вынес приговоры убийцам корреспондента Sputnik Бентли11:13


Поделиться

В апреле 2024 года главный редактор медиагруппы ""Россия сегодня"" Маргарита Симоньян сообщила, что 64-летний корреспондент Sputnik с позывным ""Техас"" (данным по его техасскому происхождению) погиб в Донецке. Гендиректор медиагруппы ""Россия сегодня"" (в которую входит Sputnik) Дмитрий Киселев заявил, что убийство Бентли должно быть расследовано, а виновные – наказаны. 











Бентли присоединился к ополчению ДНР в 2014 году. Он говорил, что поехал в Донбасс, потому что восхищался мужеством и стойкостью местного населения. Во время военных действий проявлял искреннее сострадание к нуждающимся, он собирал средства и передавал гуманитарную помощь пожилым людям, женщинам и детям Донбасса. Бентли неоднократно высказывался в поддержку российской специальной военной операции на Украине, был удостоен наград ДНР. Он рассматривал российскую спецоперацию как начало окончания агрессивной войны киевского режима против Донбасса. В 2022 году он говорил, что Россия спасла буквально сотни тысяч человеческих жизней, придя на помощь Донбассу. В сентябре 2024 года СК РФ завершил расследование уголовного дела об убийстве Бентли. Как сообщили РИА Новости в пресс-службе Следственного комитета, СК РФ установил ""все лица, причастные к гибели"" Бентли, и обстоятельства совершенных преступлений. Фигурантами дела стали четверо российских военных Виталий Вансяцкий, Владислав Агальцев, Владимир Бажин и Андрей Иорданов. По данным следствия, 8 апреля в Донецке Вансяцкий, Агальцев и Иорданов ""применили к нему физическое насилие и пытки, повлекшие его смерть"". В тот же день Вансяцкий и Агальцев подорвали тротиловой шашкой автомобиль ВАЗ-2115 с телом Бентли. Девятого апреля по указанию Вансяцкого военнослужащий той же войсковой части Бажин ""совершил укрывательство особо тяжкого преступления, переместив останки Бентли с места происшествия"".""Я приехал сюда, чтобы сражаться"". История Рассела Бентли20 сентября 2024, 11:29


Поделиться

",11:59 08.12.2025,incidents
2060525807,https://ria.ru/20251208/saratov-2060525807.html,В Москве будут искать блогершу после ее видео с ребенком в вакуумном пакете,РИА Новости: в Москве ищут блогершу Сапарину после ее видео с ребенком в пакете,"САРАТОВ, 8 дек — РИА Новости. Полицейские не нашли в Саратове блогершу Анну Сапарину, запечатавшую ребенка в вакуумном пакете, рассказал РИА Новости источник в правоохранительных органах. ""Она на постоянной основе проживает в городе Москва <…> Она зарегистрирована здесь, здесь мать проживает"", — сказал собеседник агентства.По его словам, мать Сапариной подтвердила, что на видео ее внук, и добавила, что дочь живет в Москве уже три или четыре года.





Внимание полиции привлекло видео, которое Сапарина опубликовала в Instagram* на прошлой неделе. На записи она пылесосом откачивает воздух из большого вакуумного пакета для вещей, в котором сидит ее сын. Когда остается мало воздуха, он кричит: ""Мама!"" Подпись под видео гласит: ""Когда шла третья неделя на больничном"". 





Полицейские проводят проверку.* Деятельность Meta (соцсети Facebook и Instagram) запрещена в России как экстремистская.Блогершу Люциферовну осудили за жестокое обращение с дочерью21 ноября, 10:30


Поделиться

",11:51 08.12.2025,incidents
2060525358,https://ria.ru/20251208/sostojanie-2060525358.html,"Врачи рассказали о состоянии девочки из Уфы, выброшенной отцом из окна",Состояние выброшенной отцом из окна девочки из Уфы стабилизировалось,"МОСКВА, 8 дек - РИА Новости. Состояние девочки из Уфы, выброшенной отцом из окна, оценивается как стабильное с выраженной положительной динамикой, в январе ей проведут операцию по устранению дефекта черепа, сообщили в Российской детской клинической больнице (РДКБ) Минздрава России. В Уфе 9 октября в доме на улице Ульяновых ребенка с четвертого этажа сбросил вниз 34-летний отец, ранее наблюдавшийся у психиатра. Трехлетняя девочка в крайне тяжелом состоянии была госпитализирована, ее прооперировали, мужчину задержали. Возбуждено уголовное дело о покушении на убийство. Позже Минздрав сообщил, что девочка была доставлена в Российскую детскую клиническую больницу (РДКБ) Минздрава России. В Саратове проверяют блогера после видео с ребенком в вакуумном пакетеВчера, 22:18


Поделиться

""Сейчас состояние девочки оценивается как стабильное с выраженной положительной динамикой. При поступлении у ребенка наблюдалось нарушение функций конечностей, а спустя полтора месяца у нее почти полностью вернулся прежний объем движений. Восстановилась походка - девочка ходит с мамой за руку на значительные расстояния, а без поддержки может уверенно пройти несколько шагов"", - сообщила врач-невролог нейрохирургического отделения РДКБ Ирина Рассказчикова, чьи слова приводятся в Telegram-канале больницы. 











Специалист также отметила восстановление речи и активности: ребенок изъясняется практически так же, как и до травмы, идет на контакт, самостоятельно играет, улыбается. ""Программа восстановления девочки разработана мультидисциплинарной командой и включает комплекс реабилитационных мероприятий: механотерапию, кинезиотерапию по методу Войта, занятия на платформе Галилео, лечебную физкультуру, работу с психологом и логопедом"", - пояснили в медучреждении. Там добавили, что следующим этапом лечения станет хирургическое вмешательство по устранению дефекта черепа, которое проведут нейрохирурги РДКБ в январе. ""Сейчас малышка готовится к выписке, чтобы отметить Новый год дома в кругу семьи - с мамой и старшим братом"", - добавили в медучреждении.В Москве отец ударил четырехмесячного ребенка27 ноября, 20:01


Поделиться

",11:49 08.12.2025,incidents
2060520611,https://ria.ru/20251208/kashira-2060520611.html,В Кашире потушили пожар в здании администрации,"В Кашире потушили пожар в здании администрации, пострадавших нет","МОСКВА, 8 дек - РИА Новости. Пожар в здании администрации в подмосковной Кашире удалось полностью ликвидировать, люди не пострадали, рассказал РИА Новости представитель экстренных служб. ""В 10.27 объявлена ликвидация открытого горения. В 10.40 - полная ликвидация последствий пожара"", - сказал собеседник агентства. Он отметил, что, предварительно, пострадавших в результате пожара нет.В Красноярске вспыхнул пожар в гаражном боксеВчера, 20:08


Поделиться

",11:33 08.12.2025,incidents
2060519775,https://ria.ru/20251208/bpl-2060519775.html,Житель Запорожской области получил ранения при атаке БПЛА,Житель Васильевки ранен при атаке БПЛА ВСУ,"СИМФЕРОПОЛЬ, 8 дек - РИА Новости. Житель запорожской Васильевки ранен при атаке ВСУ по частному сектору города, ему оказывают помощь, сообщил губернатор Запорожской области Евгений Балицкий. ""Мужчина 1981 года рождения получил осколочные ранения головы в результате атаки БПЛА противника по частному сектору Васильевки"", - написал Балицкий в своем Telegram-канале. По его словам, пострадавший доставлен в больницу, ему оказывается вся необходимая помощь. 





""Состояние оценивается как стабильное"", - подчеркнул губернатор.Интерактивная карта спецоперации Вооруженных сил России на Украине 22 июня 2022, 17:18


Поделиться

",11:26 08.12.2025,incidents
2060518981,https://ria.ru/20251208/kashira-2060518981.html,Из горящего здания администрации в Кашире эвакуировали более 400 человек,Из горящего здания администрации в Кашире эвакуировали 412 человек,"МОСКВА, 8 дек - РИА Новости. Свыше 410 человек эвакуировали из горящего здания администрации в подмосковной Кашире, рассказал РИА Новости представитель экстренных служб. ""По предварительной информации, из-за возгорания в здании администрации эвакуировано 412 человек"", - сказал собеседник агентства. По его словам, пострадавших в результате пожара нет. Борьбу с огнем ведут 24 человека и семь единиц техники.В Уссурийске при пожаре в жилом доме пострадали трое детейВчера, 05:57


Поделиться

",11:23 08.12.2025,incidents
2060518097,https://ria.ru/20251208/kashira-2060518097.html,В подмосковной Кашире загорелось здание администрации,В подмосковной Кашире загорелось здание администрации на 30 квадратах,"МОСКВА, 8 дек - РИА Новости. Пожар возник в здании администрации подмосковной Каширы, возгорание удалось локализовать на площади порядка 30 квадратных метров, рассказал РИА Новости представитель экстренных служб. ""Происходит горение на 3-м этаже в здании администрации подмосковной Каширы"", - сказал собеседник агентства. По его словам, в 10.20 мск пожар локализовали на площади 30 квадратных метров.В Вологде один человек погиб и семеро пострадали при пожаре 6 декабря, 23:26


Поделиться

",11:21 08.12.2025,incidents
